역사명,방향,평균_분,표준편차,배차점수,변동점수,종합점수,개선방안
전곡,UP,54.85,13.77,100.0,68.08,90.42,증편+정시성
청산,UP,54.85,13.71,100.0,67.73,90.32,증편+정시성
연천,UP,54.85,12.48,100.0,60.47,88.14,증편+정시성
광명,DOWN,53.68,11.2,97.66,52.92,84.24,증편+정시성
소요산,DOWN,54.05,10.74,98.4,50.21,83.94,증편+정시성
전곡,DOWN,54.05,10.74,98.4,50.21,83.94,증편+정시성
청산,DOWN,54.05,10.74,98.4,50.21,83.94,증편+정시성
배방,DOWN,34.81,19.18,59.91,100.0,71.94,증편+정시성
봉명,DOWN,34.81,19.18,59.91,100.0,71.94,증편+정시성
신창,DOWN,34.81,19.18,59.91,100.0,71.94,증편+정시성
쌍용,DOWN,34.81,19.18,59.91,100.0,71.94,증편+정시성
아산,DOWN,34.81,19.18,59.91,100.0,71.94,증편+정시성
온양온천,DOWN,34.81,19.18,59.91,100.0,71.94,증편+정시성
탕정,DOWN,34.81,19.18,59.91,100.0,71.94,증편+정시성
배방,UP,35.16,16.87,60.61,86.37,68.34,증편+정시성
봉명,UP,35.16,16.87,60.61,86.37,68.34,증편+정시성
쌍용,UP,35.16,16.87,60.61,86.37,68.34,증편+정시성
아산,UP,35.16,16.87,60.61,86.37,68.34,증편+정시성
온양온천,UP,35.16,16.87,60.61,86.37,68.34,증편+정시성
천안,UP,35.16,16.87,60.61,86.37,68.34,증편+정시성
탕정,UP,35.16,16.87,60.61,86.37,68.34,증편+정시성
동두천,DOWN,30.09,13.67,50.47,67.49,55.58,증편+정시성
소요산,UP,30.26,10.28,50.81,47.49,49.81,증편+정시성
서동탄,DOWN,22.0,8.67,34.29,37.99,35.4,증편+정시성
덕계,DOWN,18.87,10.37,28.03,48.02,34.03,증편+정시성
동두천중앙,DOWN,18.87,10.37,28.03,48.02,34.03,증편+정시성
보산,DOWN,18.87,10.37,28.03,48.02,34.03,증편+정시성
양주,DOWN,18.87,10.37,28.03,48.02,34.03,증편+정시성
지행,DOWN,18.87,10.37,28.03,48.02,34.03,증편+정시성
덕정,DOWN,18.87,10.36,28.03,47.96,34.01,증편+정시성
