구간,방향,평균소요시간_분,평균배차간격_분,복합지표,소요시간_점수,배차간격_점수,종합점수,개선방안
전곡 → 연천,UP,7.5,48.96153846153846,367.21153846153845,100.0,99.91252114072432,99.97,선로/신호 개선 우선
청산 → 소요산,DOWN,5.5,49.0,269.5,69.23076923076923,100.0,79.96,배차 증편 우선
전곡 → 청산,DOWN,4.5,49.0,220.5,53.84615384615385,100.0,69.93,배차 증편 우선
소요산 → 동두천,DOWN,3.5,49.0,171.5,38.46153846153847,100.0,59.9,배차 증편 우선
청산 → 전곡,UP,3.0,48.92307692307692,146.76923076923077,30.76923076923077,99.82504228144865,54.8,배차 증편 우선
소요산 → 청산,UP,4.5,30.256756756756758,136.15540540540542,53.84615384615385,57.36942401081902,47.81,배차 증편 우선
평택 → 성환,DOWN,6.49,18.508333333333333,120.11908333333334,84.46153846153847,30.64821834723275,47.21,선로/신호 개선 우선
온양온천 → 신창,DOWN,4.5,29.375,132.1875,53.84615384615385,55.363912054586805,46.77,배차 증편 우선
성환 → 평택,UP,6.49,18.056451612903224,117.18637096774192,84.46153846153847,29.620435814033108,46.58,선로/신호 개선 우선
천안 → 두정,UP,4.03,31.586206896551722,127.29241379310345,46.61538461538462,60.39319233484092,45.57,배차 증편 우선
온양온천 → 배방,UP,4.0,31.586206896551722,126.34482758620689,46.15384615384615,60.39319233484092,45.33,배차 증편 우선
배방 → 온양온천,DOWN,4.0,29.375,117.5,46.15384615384615,55.363912054586805,42.84,배차 증편 우선
배방 → 탕정,UP,3.0,31.586206896551722,94.75862068965517,30.76923076923077,60.39319233484092,37.22,배차 증편 우선
탕정 → 배방,DOWN,3.0,29.375,88.125,30.76923076923077,55.363912054586805,34.98,배차 증편 우선
덕계 → 양주,DOWN,4.5,18.872881355932204,84.92796610169492,53.84615384615385,31.47736472160471,34.38,선로/신호 개선 우선
지행 → 덕정,DOWN,4.49,18.872881355932204,84.7392372881356,53.69230769230769,31.47736472160471,34.31,선로/신호 개선 우선
덕정 → 지행,UP,4.5,18.666666666666668,84.0,53.84615384615385,31.00833965125095,34.14,선로/신호 개선 우선
직산 → 두정,DOWN,4.5,18.508333333333333,83.2875,53.84615384615385,30.64821834723275,33.95,선로/신호 개선 우선
두정 → 직산,UP,4.49,18.056451612903224,81.07346774193547,53.69230769230769,29.620435814033108,33.35,선로/신호 개선 우선
탕정 → 아산,UP,2.5,31.586206896551722,78.9655172413793,23.076923076923077,60.39319233484092,33.17,배차 증편 우선
아산 → 탕정,DOWN,2.5,29.375,73.4375,23.076923076923077,55.363912054586805,31.05,배차 증편 우선
두정 → 천안,DOWN,4.0,18.508333333333333,74.03333333333333,46.15384615384615,30.64821834723275,30.62,선로/신호 개선 우선
성환 → 직산,DOWN,4.0,18.508333333333333,74.03333333333333,46.15384615384615,30.64821834723275,30.62,선로/신호 개선 우선
서정리 → 평택지제,DOWN,3.99,18.508333333333333,73.84825000000001,46.0,30.64821834723275,30.55,선로/신호 개선 우선
평택지제 → 평택,DOWN,3.99,18.508333333333333,73.84825000000001,46.0,30.64821834723275,30.55,선로/신호 개선 우선
직산 → 성환,UP,4.01,18.056451612903224,72.40637096774192,46.30769230769231,29.620435814033108,30.18,선로/신호 개선 우선
평택 → 평택지제,UP,4.01,18.056451612903224,72.40637096774192,46.30769230769231,29.620435814033108,30.18,선로/신호 개선 우선
평택지제 → 서정리,UP,4.0,18.056451612903224,72.2258064516129,46.15384615384615,29.620435814033108,30.11,선로/신호 개선 우선
봉명 → 천안,UP,2.0,31.586206896551722,63.172413793103445,15.384615384615385,60.39319233484092,29.11,배차 증편 우선
쌍용 → 봉명,UP,2.0,31.586206896551722,63.172413793103445,15.384615384615385,60.39319233484092,29.11,배차 증편 우선
